Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,Shift,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
40,0,1398,0,2,4,0,3,0,79,3,5,0,3,0,18041,13022,0,0,14,3,4,0,21,2,3,20,15,1,12
40,0,1300,1,24,2,1,1,1,62,3,2,1,4,1,3319,24447,1,0,17,3,1,2,9,3,3,9,8,4,7
25,0,622,0,13,1,2,2,1,40,3,1,1,3,0,2096,26376,1,0,11,3,3,0,7,1,3,7,4,0,6
33,0,922,1,1,5,2,1,0,95,4,4,0,3,1,16184,22578,4,0,19,3,3,1,10,2,3,6,1,0,5
39,1,505,1,2,4,1,3,0,64,3,3,1,3,2,10938,6420,0,0,25,4,4,0,20,1,3,19,6,11,8
27,2,210,0,1,1,3,3,1,73,3,2,2,2,0,6349,22107,0,1,13,3,4,1,6,0,3,5,4,1,4
32,2,1200,1,1,4,1,4,1,62,3,2,1,1,0,4087,25174,4,0,14,3,2,1,9,3,2,6,5,1,2
33,0,392,0,2,4,2,4,1,93,3,2,2,4,1,5505,3921,1,0,14,3,3,2,6,5,3,6,2,0,4
34,0,511,0,3,2,0,4,0,32,1,2,2,4,2,6029,25353,5,0,12,3,1,0,6,3,3,2,2,2,2
25,0,383,0,9,2,0,1,1,68,2,1,1,1,0,4400,15182,3,0,12,3,1,0,6,2,3,3,2,2,2
29,1,746,0,24,3,1,3,1,45,4,1,1,1,2,1091,10642,1,0,17,3,4,0,1,3,3,1,0,0,0
32,0,515,1,1,3,0,4,1,62,2,1,2,3,2,3730,9571,0,1,14,3,4,0,4,2,1,3,2,1,2
45,1,1297,2,1,4,2,2,1,44,3,2,2,3,2,5399,14511,4,0,12,3,3,0,12,3,3,4,2,0,3
26,0,1330,2,21,3,2,1,1,37,3,1,2,3,1,2377,19373,1,0,20,4,3,1,1,0,2,1,1,0,0
43,1,957,1,28,3,2,2,0,72,4,1,1,3,2,4739,16090,4,0,12,3,4,0,18,2,3,3,2,1,2
43,1,422,1,1,3,0,4,0,33,3,2,2,4,0,5562,21782,4,0,13,3,2,1,12,2,2,5,2,2,2
35,0,1142,1,23,4,2,3,0,30,3,1,2,1,0,4014,16002,3,1,15,3,3,1,4,3,3,2,2,2,2
53,0,607,2,2,5,1,3,0,78,2,3,3,4,0,10169,14618,0,0,16,3,2,1,34,4,3,33,7,1,9
52,0,1053,2,1,2,0,4,1,70,3,4,1,4,0,17099,13829,2,0,15,3,2,1,26,2,2,9,8,7,8
44,0,1315,2,3,4,4,4,1,35,3,5,1,4,0,19513,9358,4,1,12,3,1,1,26,2,4,2,2,0,1
22,0,581,2,1,2,0,4,1,63,3,1,1,3,2,3375,17624,0,0,12,3,4,0,4,2,4,3,2,1,2
31,2,1188,0,20,2,3,4,0,45,3,2,3,3,0,6932,24406,1,0,13,3,4,1,9,2,2,9,8,0,0
46,0,168,0,4,2,3,4,0,33,2,5,0,2,0,18789,9946,2,0,14,3,3,1,26,2,3,11,4,0,8
22,1,1256,1,3,4,0,3,1,48,2,1,1,4,0,2853,4223,0,1,11,3,2,1,1,5,3,0,0,0,0
25,1,599,0,24,1,0,3,1,73,1,1,1,4,2,1118,8040,1,1,14,3,4,0,1,4,3,1,0,1,0
30,0,201,1,5,3,1,4,0,84,3,1,1,1,1,3204,10415,5,0,14,3,4,1,8,3,3,3,2,2,2
51,0,432,1,9,4,0,4,1,96,3,1,2,4,0,2075,18725,3,0,23,4,2,2,10,4,3,4,2,0,3
42,0,462,0,14,2,2,3,0,68,2,2,2,3,2,6244,7824,7,0,17,3,1,0,10,6,3,5,4,0,3
28,0,329,2,24,3,2,3,1,51,3,1,2,2,0,2408,7324,1,1,17,3,3,3,1,3,3,1,1,0,0
29,0,718,1,8,1,2,2,1,79,2,2,3,4,0,5056,17689,1,1,15,3,3,1,10,2,2,10,7,1,2
38,1,594,1,2,2,2,3,0,75,2,1,2,2,0,2468,15963,4,0,14,3,2,1,9,4,2,6,1,0,5
31,0,359,2,18,5,5,4,1,89,4,1,1,1,0,2956,21495,0,0,17,3,3,0,2,4,3,1,0,0,0
38,1,653,1,29,5,0,4,0,50,3,2,2,4,2,2406,5456,1,0,11,3,4,0,10,2,3,10,3,9,9
25,0,383,0,9,2,0,1,1,68,2,1,1,1,0,4400,15182,3,0,12,3,1,0,6,2,3,3,2,2,2
26,0,950,0,4,4,3,4,1,48,2,2,2,4,2,5828,8450,1,1,12,3,2,0,8,0,3,8,7,7,4
36,1,566,2,18,4,0,3,1,81,4,1,2,4,0,3688,7122,4,0,18,3,4,2,4,2,3,1,0,0,0
24,0,691,1,23,3,2,2,1,89,4,1,1,4,0,2725,21630,1,1,11,3,2,2,6,3,3,6,5,1,4
49,0,722,2,25,4,0,3,0,84,3,1,2,1,0,3211,22102,1,0,14,3,4,1,10,3,2,9,6,1,4
20,1,871,2,6,3,0,4,0,66,2,1,2,4,2,2926,19783,1,1,18,3,2,0,1,5,3,1,0,1,0
33,0,587,1,10,1,2,1,1,38,1,1,2,4,1,3408,6705,7,0,13,3,1,3,8,2,3,4,3,1,3
26,0,471,2,24,3,1,3,1,66,1,1,2,4,2,2340,23213,1,1,18,3,2,0,1,3,1,1,0,0,0
51,0,1405,1,11,2,1,4,0,82,2,4,3,2,2,13142,24439,3,0,16,3,2,0,29,1,2,5,2,0,3
46,0,563,0,1,4,0,4,1,56,4,4,0,1,2,17567,3156,1,0,15,3,2,0,27,5,1,26,0,0,12
44,0,528,2,1,3,0,3,0,44,3,1,1,4,1,3195,4167,4,1,18,3,1,3,8,2,3,2,2,2,2
25,0,583,0,4,1,3,3,1,87,2,2,2,1,0,4256,18154,1,0,12,3,1,0,5,1,4,5,2,0,3
57,0,210,0,29,3,3,1,1,56,2,4,0,4,1,14118,22102,3,0,12,3,3,1,32,3,2,1,0,0,0
29,1,1404,0,20,3,1,3,0,84,3,1,1,4,0,2157,18203,1,0,15,3,2,1,3,5,3,3,1,0,2
35,0,1296,2,5,4,1,3,1,62,3,3,3,2,2,8095,18264,0,0,13,3,4,0,17,5,3,16,6,0,13
44,1,1193,2,2,1,2,2,1,86,3,3,3,3,2,10209,19719,5,1,18,3,2,0,16,2,2,2,2,2,2
49,1,1064,2,2,1,0,2,1,42,3,5,0,4,0,19161,13738,3,0,15,3,4,0,28,3,3,5,4,4,3
49,0,1091,1,1,2,1,3,0,90,2,4,2,3,2,13964,17810,7,1,12,3,4,0,25,2,3,7,1,0,7
55,0,1311,2,2,3,0,3,0,97,3,4,1,4,2,16659,23258,2,1,13,3,3,0,30,2,3,5,4,1,2
28,0,890,1,2,4,2,3,1,46,3,1,1,3,2,4382,16374,6,0,17,3,4,0,5,3,2,2,2,2,1
41,0,1356,0,20,2,3,2,0,70,3,1,1,2,2,3140,21728,1,1,22,4,4,0,4,5,2,4,3,0,2
43,0,244,2,2,3,0,2,1,97,3,1,1,4,2,3539,5033,0,0,13,3,2,0,10,5,3,9,7,1,8
26,0,583,1,4,2,0,3,1,53,3,1,2,4,2,2875,9973,1,1,20,4,2,0,8,2,2,8,5,2,2
33,0,536,0,10,5,3,4,1,82,4,3,2,3,1,8380,21708,0,1,14,3,4,2,10,3,3,9,8,0,8
37,0,571,1,10,1,0,4,0,82,3,1,1,1,1,2782,19905,0,1,13,3,2,2,6,3,2,5,3,4,3
40,0,444,0,2,2,3,2,0,92,3,2,2,2,0,5677,4258,3,0,14,3,3,1,15,4,3,11,8,5,10
31,0,1003,0,5,3,1,1,1,51,3,2,2,3,0,8346,20943,1,0,19,3,3,1,6,3,3,5,2,0,2
45,0,556,0,25,2,0,2,0,93,2,2,3,4,0,5906,23888,0,0,13,3,4,2,10,2,2,9,8,3,8
36,0,188,1,7,4,4,2,1,65,3,1,1,4,2,4678,23293,2,0,18,3,3,0,8,6,3,6,2,0,1
31,2,697,2,10,3,2,3,0,40,3,3,0,3,0,11031,26862,4,0,20,4,3,1,13,2,4,11,7,4,8
35,0,1258,1,1,4,0,4,0,40,4,1,1,3,2,2506,13301,3,0,13,3,3,0,7,0,3,2,2,2,2
40,1,720,1,16,4,2,1,1,51,2,2,2,3,2,5094,11983,6,0,14,3,4,0,10,6,3,1,0,0,0
53,0,1282,2,5,3,4,3,0,58,3,5,1,3,1,19094,10735,4,0,11,3,4,1,26,3,2,14,13,4,8
34,0,401,1,1,3,0,4,0,86,2,1,2,2,0,3294,3708,5,0,17,3,1,1,7,2,2,5,4,0,2
30,1,1312,1,2,4,1,4,0,78,2,1,1,1,2,4968,26427,0,0,16,3,4,0,10,2,3,9,7,0,7
48,0,626,1,1,2,0,1,1,98,2,3,2,3,2,5381,19294,9,1,13,3,4,0,23,2,3,1,0,0,0
49,0,174,0,8,4,1,4,1,56,2,4,2,2,0,13120,11879,6,0,17,3,2,1,22,3,3,9,8,2,3
46,0,566,2,7,2,2,4,1,75,3,3,3,3,1,10845,24208,6,0,13,3,2,1,13,3,3,8,7,0,7
31,1,561,1,3,3,0,4,0,33,3,1,1,3,2,4084,4156,1,0,12,3,1,0,7,2,1,7,2,7,7
38,1,1391,1,10,1,2,3,1,66,3,1,1,3,0,2684,12127,0,0,17,3,2,1,3,0,2,2,1,0,2
44,1,383,0,1,5,3,1,0,79,3,2,2,3,0,4768,9282,7,0,12,3,3,1,11,4,2,1,0,0,0
38,0,437,0,16,3,0,2,0,90,3,2,3,2,2,4198,16379,2,0,12,3,2,0,8,5,4,3,2,1,2
43,0,1291,2,15,2,0,3,1,65,2,4,3,3,0,17603,3525,1,0,24,4,1,1,14,3,3,14,10,6,11
50,2,881,2,2,4,0,1,1,98,3,4,1,1,1,17924,4544,1,0,11,3,4,1,31,3,3,31,6,14,7
36,0,329,0,16,4,3,3,0,98,2,2,2,1,0,5647,13494,4,0,13,3,1,2,11,3,2,3,2,0,2
37,0,1115,1,1,4,0,1,1,51,2,2,3,3,1,5993,2689,1,0,18,3,3,1,7,2,4,7,5,0,7
43,0,782,1,6,4,4,2,1,50,2,4,0,4,1,16627,2671,4,1,14,3,3,1,21,3,2,1,0,0,0
28,2,280,2,1,2,0,3,1,43,3,1,1,4,1,2706,10494,1,0,15,3,2,1,3,2,3,3,2,2,2
25,1,772,2,2,1,0,4,1,77,4,2,3,3,1,5206,4973,1,0,17,3,3,2,7,6,3,7,7,0,7
43,0,177,0,8,3,0,1,0,55,3,2,3,2,1,4765,23814,4,0,21,4,3,1,4,2,4,1,0,0,0
31,0,1222,1,11,4,0,4,1,48,3,1,1,4,0,2356,14871,3,1,19,3,2,1,8,2,3,6,4,0,2
37,0,625,0,1,4,0,1,1,46,2,3,2,3,0,10609,14922,5,0,11,3,3,0,17,2,1,14,1,11,7
56,0,832,1,9,3,2,3,1,81,3,4,2,4,0,11103,20420,7,0,11,3,3,0,30,1,2,10,7,1,1
44,1,602,2,1,5,5,1,1,37,3,2,1,4,0,5743,10503,4,1,11,3,3,0,14,3,3,10,7,0,2
47,1,1309,0,4,1,2,2,1,99,3,2,1,3,2,2976,25751,3,0,19,3,1,0,5,3,3,0,0,0,0
33,1,1146,0,25,3,2,2,0,82,3,2,2,3,0,4539,4905,1,0,12,3,1,1,10,3,2,10,7,0,1
32,0,801,0,1,4,3,3,0,48,3,3,2,4,0,10422,24032,1,0,19,3,3,2,14,3,3,14,10,5,7
47,0,249,0,2,2,3,3,0,35,3,2,2,4,0,4537,17783,0,1,22,4,1,1,8,2,3,7,6,7,7
27,2,691,1,9,3,2,4,1,57,3,1,1,2,1,2024,5970,6,0,18,3,4,1,6,1,1,2,2,2,2
29,0,136,2,1,3,0,1,1,89,3,2,2,1,0,5373,6225,0,0,12,3,1,1,6,5,2,5,3,0,2
42,0,932,2,1,2,0,4,0,43,2,2,3,4,0,6062,4051,9,1,13,3,4,1,8,4,3,4,3,0,2
41,0,582,0,28,4,0,1,0,60,2,4,3,2,0,13570,5640,0,0,23,4,3,1,21,3,3,20,7,0,10
41,0,1411,1,19,2,0,3,1,36,3,2,1,1,1,3072,19877,2,0,16,3,1,2,17,2,2,1,0,0,0
31,0,408,1,9,4,0,3,1,42,2,1,1,2,2,2657,7551,0,1,16,3,4,0,3,5,3,2,2,2,2
38,2,1336,2,2,3,5,1,1,100,3,1,1,2,1,2592,7129,5,0,13,3,4,3,13,3,3,11,10,3,8
